movieNm,audiCnt,scrnCnt,audiPerScrn
한산: 용의 출현,4597826,22656,202.94076624293785
비상선언,1397962,8489,164.67923194722582
범죄도시 2,12686014,81645,155.3801702492498
탑건: 매버릭,7448591,57863,128.7280472841021
닥터 스트레인지: 대혼돈의 멀티버스,5880700,48993,120.03143306186598
쥬라기 월드: 도미니언,2832531,24893,113.78825372594706
마녀(魔女) Part2. The Other One,2795796,27322,102.32764804919113
토르: 러브 앤 썬더,2711863,26516,102.27270327349525
미니언즈2,1971475,19463,101.29347993628937
스파이더맨: 노 웨이 홈,7541536,90668,83.17748268407817
너의 이름은.,45672,552,82.73913043478261
뜨거운 피: 디 오리지널,12745,158,80.66455696202532
외계+인 1부,1493203,19211,77.72645879964604
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,575641,7926,72.6269240474388
비욘드라이브 더 무비 : 엔시티 레조넌스,15966,224,71.27678571428571
헤어질 결심,1774163,27562,64.3698933313983
브로커,1252060,19738,63.433985206201235
이터널스,3045398,48675,62.565957883923986
싱크홀,2178353,35019,62.20488877466518
그대가 조국,324303,5728,56.617143854748605
베놈 2: 렛 데어 비 카니지,2114192,38939,54.29497419040037
프리! 더 파이널 스트로크 후편,8247,153,53.90196078431372
뽀로로 극장판 드래곤캐슬 대모험,365733,6989,52.32980397767921
EBS 댄스파티! ,5177,104,49.77884615384615
명탐정 코난: 할로윈의 신부,439737,8909,49.358738354473005
해리포터와 마법사의 돌,63975,1299,49.249422632794456
날씨의 아이,12089,254,47.59448818897638
인질,1626879,35261,46.138198009131905
샹치와 텐 링즈의 전설,1734677,38205,45.40444967936134
킹스맨: 퍼스트 에이전트,1021842,22781,44.855010754576185
호빗: 뜻밖의 여정,8133,184,44.20108695652174
모가디슈,2088040,47683,43.7900299897238
극장판 윌벤져스 : 수상한 캠핑 대소동,23256,538,43.226765799256505
몬스타엑스 : 더 드리밍,26672,632,42.20253164556962
버즈 라이트이어,339469,8660,39.19965357967668
동백,6172,160,38.575
듄,1578018,41647,37.89031622926021
해적: 도깨비 깃발,1327411,35386,37.51232125699429
보이스,1419478,37965,37.38912155933096
경관의 피,676346,18389,36.77992277992278
배드 가이즈,393867,11221,35.100882274307104
리스펙트,12974,379,34.23218997361477
신비한 동물들과 덤블도어의 비밀,1190425,35129,33.88724415724899
해리 포터와 불사조 기사단,5724,169,33.8698224852071
007 노 타임 투 다이,1222296,36288,33.68320105820106
장민호 드라마 최종회,8703,261,33.3448275862069
장르만 로맨스,511803,15388,33.25987782687809
유체이탈자,808285,24460,33.045175797219954
뱅드림! 필름 라이브 세컨드 스테이지,20051,609,32.92446633825944
프리 가이 ,299106,9471,31.58124802027241
